"","PdId","tract","pop","pop_den","med_age","p_kids","p_seniors","p_female","p_white","p_black","p_some_college","med_hh_inc","p_poverty","p_unemp","p_working","X","Y"
"23",16621108406244,16200,2937,1.07480888851332e-08,36.1,6.63942798774259,9.22710248552945,40.2110997616616,62.6830098740211,5.00510725229826,16.4247517188694,80651,9.90806945863126,2.53054101221641,84.1334695267279,-122.422791331024,37.7759512442749
"24",16621741806374,20100,5959,1.33695391641924e-08,37.6,8.7262963584494,9.88420875985904,39.5200537002853,27.4542708508139,4.48061755328075,17.0726915520629,43933,22.4349286314022,7.92239288601455,81.3894948816916,-122.419257894814,37.7751462916539
"25",16621944206372,22802,2402,8.25064817626201e-09,37,12.1565362198168,17.6935886761032,51.5820149875104,32.5145711906744,3.08076602830974,21.049896049896,58772,22.1381744831064,2.96784830997527,70.1498751040799,-122.407430209185,37.7638215023633
"26",16622284306244,13102,2913,1.22452382748391e-08,35.2,4.01647785787848,18.5032612427051,52.2142121524202,74.8026089941641,0.343288705801579,11.6182572614108,124330,6.8617206548241,3.04428044280443,77.4802608994164,-122.426158657654,37.7926332287606
"27",16622285906372,16900,2907,9.8593709890821e-09,38,9.90712074303406,9.08152734778122,32.2325421396629,69.7282421740626,4.64396284829721,18.7621642662515,102218,9.42608695652174,6.70819357930043,81.0113519091847,-122.431342864403,37.7684539072982
"28",16622540506224,10900,4447,1.77421591009442e-08,34.9,4.40746570721835,17.5399145491342,57.0047222846863,71.3739599730155,1.68653024510906,11.2124199112863,117181,8.56757364515404,2.78113663845224,78.0526197436474,-122.418333696264,37.7982754745477
"29",16007543004013,25402,2965,9.87772158897391e-09,41.8,14.637436762226,14.9409780775717,47.6559865092749,45.0927487352445,1.68634064080944,24.6128087065718,123313,6.9814502529511,3.96294390118374,70.4215851602024,-122.415432306543,37.7353975650308
"30",16622542706224,11800,1562,2.76145595936037e-08,48.3,9.85915492957746,24.0076824583867,48.2074263764405,10.6914212548015,0.0640204865556978,11.2368633791431,20800,33.5467349551857,8.06045340050378,66.1331626120359,-122.405942287669,37.7924508111721
"31",16622702528150,22801,5278,9.1305529396085e-09,35.2,16.6350890488822,6.85865858279651,45.4907161803714,39.9772641151951,2.38726790450928,22.5618631732169,117188,12.5262554897842,6.16,76.5062523683213,-122.412502863675,37.7590272974496
"32",16623110106224,15200,4267,1.52831714010047e-08,34.2,7.05413639559409,19.9203187250996,51.4881649871104,61.1436606515116,6.35106632294352,19.9674001629992,89440,11.9252873563218,8.39416058394161,73.0255448793063,-122.425237254245,37.7880691746427
"33",16623111706224,13400,4000,1.12938337269881e-08,35.4,11.875,13.725,54.05,73.9,1.2,15.2647975077882,136700,4.24671385237614,1.56194533191338,74.4,-122.436029388816,37.791381047998
"34",16623151506244,15802,3321,1.94499745845466e-08,33.8,7.04607046070461,7.88919000301114,43.0593194820837,63.2339656729901,6.74495633845227,14.5122371596001,107143,8.16696914700544,4.84251968503937,85.0647395362843,-122.440030415903,37.7775861616294
"35",16623218706224,11700,1716,3.11010506896772e-09,39.8,4.48717948717949,13.6363636363636,42.5990675990676,33.3916083916084,4.25407925407925,18.2845744680851,50223,19.6750902527076,7.28534258456201,81.8764568764569,-122.407222440955,37.7864562588009
"36",14105926363010,23200,4414,5.15313196437533e-09,35.7,25.1699139102855,9.78704123244223,53.0357951971001,5.68645219755324,34.8663343905754,30.7293466989284,49583,24.3009774948852,12.5692373242437,65.0430448572723,-122.388856204292,37.7299809672996
"37",16623684406244,16802,3293,1.53114348949682e-08,38.1,6.19495900394777,8.62435469177042,40.753112663225,52.6875189796538,5.22320072881871,18.9594972067039,79167,16.7883211678832,7.63606823720552,85.1806863042818,-122.42579655143,37.7741331732778
"38",16623772306374,980300,89,1.99371411598527e-11,33.8,0,0,34.8314606741573,94.3820224719101,0,8.98876404494382,106944,0,0,100,-122.484194946272,37.7725658462015
"39",16623773906244,12800,4783,9.6075919361013e-09,33,16.4959230608405,10.8927451390341,51.1603596069413,76.6464561990383,1.17081329709387,12.5822584890761,126716,6.37675099310056,5.30470476791917,72.6113318001254,-122.436775838314,37.8006947037442
"40",16623908606244,16801,3232,1.42671644998311e-08,35.9,7.2710396039604,7.42574257425743,38.3972772277228,71.6893564356436,6.59034653465347,20.7359009628611,88929,11.8359739049394,4.3265306122449,85.3032178217822,-122.432119678725,37.7723808715442
"41",16623910571000,12901,2731,1.50992274064253e-08,32.9,8.09227389234712,8.53167337971439,54.778469425119,80.7762724276822,0,8.5321471896482,142500,2.94334069168506,3.40909090909091,83.3760527279385,-122.429313934668,37.8002505433395
"42",16078230675000,15801,4121,1.19820434543957e-08,35.9,21.572433875273,14.7051686483863,50.5217180296045,34.6275175928173,33.6811453530696,24.2197659297789,66698,19.49826130154,10.9995635093845,63.7223974763407,-122.439954061729,37.7813589416713
"43",16624086706374,22902,2712,1.67579832987121e-08,36,13.5324483775811,10.5825958702065,42.2566371681416,39.9705014749263,4.20353982300885,20.2580028666985,113750,15.5973451327434,3.2171581769437,75.8849557522124,-122.409767637153,37.7503334758742
"44",16079899975030,15700,8910,1.06493903528086e-08,27.3,7.04826038159372,9.37149270482604,53.9393939393939,51.4141414141414,3.79349046015713,15.9154145798553,102152,10.539629005059,10.6661745709541,83.5802469135803,-122.446612978839,37.7822458223917
"45",16624155806244,47902,3701,9.30524199999306e-09,44.9,12.0507970818698,19.454201567144,50.499864901378,44.9608213996217,1.05376925155363,21.9095477386935,74500,13.3477438530127,4.69667318982387,68.4950013509862,-122.506161131598,37.7781287700913
"46",16624275006244,10300,4341,1.61818489298727e-08,37.8,10.8039622206865,20.1105736005529,47.7079014052062,53.5130154342317,0,20.2253521126761,99120,14.3976042386547,3.46368715083799,69.0854641787607,-122.415699189467,37.8033889645287
"47",16624308706244,15100,2178,1.25273444378122e-08,43.7,0.459136822773186,33.1496786042241,46.7860422405877,59.1827364554637,0.0918273645546373,12.7246236036911,83750,6.90298507462687,2.45520902455209,66.3911845730028,-122.42293598427,37.7850137051899
"48",16624378606244,20402,4461,7.54408299794271e-09,39.5,7.12844653665097,13.6292311141,39.0943734588657,62.4971979376821,1.9502353732347,19.7983275946877,93479,4.97646267652993,2.34986945169713,79.2423223492491,-122.446757209575,37.7531845175462
"49",16624380506244,11100,5081,2.05624000965967e-08,35.6,6.02243652824247,14.4459752017319,49.0454634914387,58.0003936233025,4.62507380436922,18.4605057059745,84442,9.52662721893491,3.0820033021464,79.5315882700256,-122.416962993149,37.7920575305584
"50",16624393006244,17000,3959,8.43151105812279e-09,44.5,9.47208891134125,16.3172518312705,38.6461227582723,76.3324071735287,1.03561505430664,13.6467236467236,140152,5.00126294518818,3.27022375215146,74.2106592573882,-122.440168037474,37.7621873493017
"51",16624408506244,32901,5757,8.56822884026301e-09,43.7,14.4519715129408,19.7498697238145,52.7705402119159,27.1495570609693,0.851137745353483,28.6428733803137,83169,8.75835385156525,7.5031525851198,65.7981587632447,-122.488939272835,37.7471242387792
"52",16624412606244,20401,3118,9.52886714635434e-09,42.7,7.47273893521488,9.49326491340603,38.1334188582425,71.0070558050032,2.91853752405388,19.7024673439768,149886,5.58050032071841,3.18066157760814,83.0339961513791,-122.439763965816,37.7619648792721
"53",16624414806244,30102,5073,3.97856773091001e-09,35.9,13.8182534989158,13.1283264340627,51.0151783954268,63.4930021683422,1.41927853341218,9.29070929070929,111651,6.7984361424848,3.8866930171278,73.0534200670215,-122.450395277044,37.759485870271
"54",16624416006244,32700,7113,8.42061440348272e-09,43.3,13.1590046393927,19.0636862083509,51.8065513847884,32.9818641923239,0.0140587656403768,20.542920029347,103648,7.87878787878788,4.2290961817303,67.7773091522564,-122.492130279431,37.7619491648757
